PitchNo	Date	Time	PAofInning	PitchofPA	Pitcher	PitcherId	PitcherThrows	PitcherTeam	Batter	BatterId	BatterSide	BatterTeam	PitcherSet	Inning	Top/Bottom	Outs	Balls	Strikes	TaggedPitchType	AutoPitchType	PitchCall	KorBB	TaggedHitType	PlayResult	OutsOnPlay	RunsScored	Notes	RelSpeed	VertRelAngle	HorzRelAngle	SpinRate	SpinAxis	Tilt	RelHeight	RelSide	Extension	VertBreak	InducedVertBreak	HorzBreak	PlateLocHeight	PlateLocSide	ZoneSpeed	VertApprAngle	HorzApprAngle	ZoneTime	ExitSpeed	Angle	Direction	HitSpinRate	PositionAt110X	PositionAt110Y	PositionAt110Z	Distance	LastTrackedDistance	Bearing	HangTime	pfxx	pfxz	x0	y0	z0	vx0	vy0	vz0	ax0	ay0	az0	HomeTeam	AwayTeam	Stadium	Level	League	GameID	PitchUID	EffectiveVelo	MaxHeight	MeasuredDuration	SpeedDrop	PitchLastMeasuredX	PitchLastMeasuredY	PitchLastMeasuredZ	ContactPositionX	ContactPositionY	ContactPositionZ	GameUID	UTCDate	UTCTime	LocalDateTime	UTCDateTime	AutoHitType	System	HomeTeamForeignID	AwayTeamForeignID	GameForeignID	Catcher	CatcherId	CatcherThrows	CatcherTeam	PlayID	PitchTrajectoryXc0	PitchTrajectoryXc1	PitchTrajectoryXc2	PitchTrajectoryYc0	PitchTrajectoryYc1	PitchTrajectoryYc2	PitchTrajectoryZc0	PitchTrajectoryZc1	PitchTrajectoryZc2	HitSpinAxis	HitTrajectoryXc0	HitTrajectoryXc1	HitTrajectoryXc2	HitTrajectoryXc3	HitTrajectoryXc4	HitTrajectoryXc5	HitTrajectoryXc6	HitTrajectoryXc7	HitTrajectoryXc8	HitTrajectoryYc0	HitTrajectoryYc1	HitTrajectoryYc2	HitTrajectoryYc3	HitTrajectoryYc4	HitTrajectoryYc5	HitTrajectoryYc6	HitTrajectoryYc7	HitTrajectoryYc8	HitTrajectoryZc0	HitTrajectoryZc1	HitTrajectoryZc2	HitTrajectoryZc3	HitTrajectoryZc4	HitTrajectoryZc5	HitTrajectoryZc6	HitTrajectoryZc7	HitTrajectoryZc8	ThrowSpeed	PopTime	ExchangeTime	TimeToBase	CatchPositionX	CatchPositionY	CatchPositionZ	ThrowPositionX	ThrowPositionY	ThrowPositionZ	BasePositionX	BasePositionY	BasePositionZ	ThrowTrajectoryXc0	ThrowTrajectoryXc1	ThrowTrajectoryXc2	ThrowTrajectoryYc0	ThrowTrajectoryYc1	ThrowTrajectoryYc2	ThrowTrajectoryZc0	ThrowTrajectoryZc1	ThrowTrajectoryZc2	PitchReleaseConfidence	PitchLocationConfidence	PitchMovementConfidence	HitLaunchConfidence	HitLandingConfidence	CatcherThrowCatchConfidence	CatcherThrowReleaseConfidence	CatcherThrowLocationConfidence
30	6/3/2025	22:52.2	1	8	Howard, Flynn	1000220099	Right	UPP_VAL	Parks, Samuel	1000228989	Left	NSH_N	Undefined	1	Bottom	0	3	2	Fastball	Four-Seam	StrikeCalled	Strikeout	Undefined	Undefined	0	0		88.1371	-1.980659	-0.756673	2045.900279	208.589897	1:00	6.03268	1.2068	6.11132	-21.51312	14.44434	7.19906	2.40765	1.10704	80.07288	-6.048941	0.541558	0.431585												-3.91603	8.41556	-1.15228	50	5.86946	1.38922	-127.89098	-5.06204	-6.43055	28.47409	-18.35474	NSH_N	UPP_VAL	FraserField	NECBL	NECL	20250603-FraserField-1	49708380-40c9-11f0-b7bb-43e5970371a5	87.335			8.06423							15a45e52-862d-4085-a6c4-96174483653f	6/3/2025	22:52.2	2025-06-03T18:22:52.1619968-04:00	2025-06-03T22:22:52.1619968Z		v3				MacDougall, Ryan	1000268563	Right	UPP_VAL	5b00b17f-dc70-4a9f-8d90-19bca91cac83	54.38342	-128.86323	14.23705	6.0316	-4.43532	-9.17737	-1.20346	1.60879	-3.21528																																																			High	High	High					
34	6/3/2025	24:05.6	2	4	Howard, Flynn	1000220099	Right	UPP_VAL	Wilson, Ethan	1000303711	Right	NSH_N	Undefined	1	Bottom	1	1	2	Curveball	Slider	StrikeCalled	Strikeout	Undefined	Undefined	0	0		81.01267	-0.245617	-1.299097	2437.568601	71.320061	8:30	6.12626	1.0447	5.21474	-48.23818	-3.11929	-14.66741	1.8754	-1.39931	72.36706	-9.048939	-3.902708	0.483449												6.80843	-0.92894	-0.91327	50	6.06786	3.28141	-117.1679	-2.24544	9.13476	29.32081	-33.42036	NSH_N	UPP_VAL	FraserField	NECBL	NECL	20250603-FraserField-1	756c2070-40c9-11f0-b7bb-43e5970371a5	77.96571			8.64561							15a45e52-862d-4085-a6c4-96174483653f	6/3/2025	24:05.6	2025-06-03T18:24:05.5763456-04:00	2025-06-03T22:24:05.5763456Z		v3				MacDougall, Ryan	1000268563	Right	UPP_VAL	b959ceae-0a55-48da-8759-581bdc61cac0	55.27982	-118.48179	14.6604	6.13492	-0.74785	-16.71018	-1.05115	2.87207	4.56738																																																			High	High	High					
40	6/3/2025	25:52.5	3	6	Howard, Flynn	1000220099	Right	UPP_VAL	Gold, Jack	1000108729	Left	NSH_N	Undefined	1	Bottom	2	3	2	Fastball	Four-Seam	BallCalled	Walk	Undefined	Undefined	0	0		89.78336	-0.408823	-1.582084	2199.22827	216.200462	1:15	6.07287	1.28615	6.03161	-20.69265	14.19107	9.48323	3.96975	0.61099	81.02413	-4.34217	0.124119	0.425092												-5.32898	7.77689	-1.16739	50	6.02979	3.18607	-130.24102	-1.55678	-9.03636	30.61595	-18.98674	NSH_N	UPP_VAL	FraserField	NECBL	NECL	20250603-FraserField-1	b4ec8910-40c9-11f0-b7bb-43e5970371a5	88.66891			8.75923							15a45e52-862d-4085-a6c4-96174483653f	6/3/2025	25:52.5	2025-06-03T18:25:52.5317120-04:00	2025-06-03T22:25:52.5317120Z		v3				MacDougall, Ryan	1000268563	Right	UPP_VAL	82c457f9-cb93-4c66-84b6-3b332ce5251f	54.46237	-131.28581	15.30798	6.07186	-0.90885	-9.49337	-1.28137	3.49444	-4.51818																																																			High	High	High					
44	6/3/2025	27:25.1	4	4	Howard, Flynn	1000220099	Right	UPP_VAL	Jaconski, Jesse	810825	Right	NSH_N	Undefined	1	Bottom	2	1	2	Curveball	Curveball	InPlay	Undefined	LineDrive	Out	1	0		78.60676	0.407048	-0.457553	2480.642782	64.546315	8:15	6.0736	0.88794	5.53117	-53.31093	-6.27981	-17.0208	2.01153	-0.95818	70.68471	-9.351412	-3.499083	0.493588	82.73393	13.504283	-17.269462	1551.324125	104.07693	9.12181	-35.6083	150.02287	141.52823	-19.814325	1.482831	8.42615	-2.79988	-0.83657	50	6.07376	1.58343	-113.89716	-0.9978	10.74243	26.66149	-35.7436	NSH_N	UPP_VAL	FraserField	NECBL	NECL	20250603-FraserField-1	ec3de990-40c9-11f0-b7bb-43e5970371a5	76.36424	11.39626		7.92205				1.33598	1.99331	0.9561	15a45e52-862d-4085-a6c4-96174483653f	6/3/2025	27:25.1	2025-06-03T18:27:25.1192832-04:00	2025-06-03T22:27:25.1192832Z	LineDrive	v3				MacDougall, Ryan	1000268563	Right	UPP_VAL	56a518fa-4cdc-43e2-a58f-413e2670c7e8	54.96601	-115.05375	13.33075	6.08342	0.55278	-17.8718	-0.89515	1.11741	5.37122	64.737921	1.33598	112.66909	-15.31858	2.61198	-0.529	0.07555	-0.00722	-0.00084	0.00033	1.99331	28.33577	-22.75687	2.4104	-0.49351	0.09476	-0.01394	0.00156	-8.00E-05	0.9561	-35.0266	-1.20443	1.24419	-0.36304	0.07525	-0.00312	-0.00298	0.00069																							High	High	High	High	High			
62	6/3/2025	38:13.4	1	2	Howard, Flynn	1000220099	Right	UPP_VAL	Dalton, Brody	823913	Left	NSH_N	Undefined	2	Bottom	0	0	1	Fastball	Sinker	InPlay	Undefined	GroundBall	Out	1	0		88.15757	-0.52342	-2.043695	2176.728276	226.45019	1:30	6.071	1.25422	5.91315	-26.02407	10.16839	9.40343	3.41622	0.1403	80.02524	-5.395743	-0.355719	0.432992	60.72954	-31.211341	46.029907					6.50591	6.43079	37.602986	0.073553	-5.44398	5.72859	-1.09574	50	6.01429	4.17284	-127.92268	-2.01956	-8.94391	28.49192	-22.76251	NSH_N	UPP_VAL	FraserField	NECBL	NECL	20250603-FraserField-1	6ea15150-40cb-11f0-b7bb-43e5970371a5	87.05103	3.41736		8.13233				1.23846	3.41736	-0.08945	15a45e52-862d-4085-a6c4-96174483653f	6/3/2025	38:13.4	2025-06-03T18:38:13.3694976-04:00	2025-06-03T22:38:13.3694976Z	GroundBall	v3				MacDougall, Ryan	1000268563	Right	UPP_VAL	c54a32e2-e4ec-4de1-a6c4-3d83475858d5	54.58368	-128.93955	14.24596	6.07187	-1.20717	-11.38125	-1.25037	4.49204	-4.47196	180	1.23432	53.23911								3.42097	-46.46112								-0.09374	55.18833																														High	High	High	Low	Low			
68	6/3/2025	40:03.3	2	6	Howard, Flynn	1000220099	Right	UPP_VAL	Marot, Alex	823917	Right	NSH_N	Undefined	2	Bottom	1	2	2	Fastball	Cutter	StrikeCalled	Strikeout	Undefined	Undefined	0	0		87.13054	-0.187417	-2.173148	2162.833809	199.512541	12:45	5.91288	1.25226	6.16744	-27.45072	9.54252	2.90677	3.45209	-0.51371	78.50953	-5.360549	-1.649103	0.437757												-2.19725	5.39862	-1.089	50	5.88496	4.67393	-126.33812	-1.26723	-3.49312	29.67446	-23.59155	NSH_N	UPP_VAL	FraserField	NECBL	NECL	20250603-FraserField-1	b00d0f30-40cb-11f0-b7bb-43e5970371a5	86.10364			8.62101							15a45e52-862d-4085-a6c4-96174483653f	6/3/2025	40:03.3	2025-06-03T18:40:03.3174528-04:00	2025-06-03T22:40:03.3174528Z		v3				MacDougall, Ryan	1000268563	Right	UPP_VAL	f847f7b0-ae15-4df5-9810-0e6ea03c39ad	54.32613	-127.35019	14.83723	5.91446	-0.46262	-11.79577	-1.25044	4.79306	-1.74656																																																			High	High	High					
74	6/3/2025	41:56.0	3	6	Howard, Flynn	1000220099	Right	UPP_VAL	Wright, Brooks	1000223489	Left	NSH_N	Undefined	2	Bottom	2	3	2	Slider	Curveball	BallCalled	Walk	Undefined	Undefined	0	0		76.56405	2.758773	1.593235	2429.272034	58.89567	8:00	5.97153	1.2939	5.30097	-54.0866	-4.5891	-10.523	4.0572	1.91306	69.1594	-7.122979	-0.274431	0.506364												5.72284	-2.57551	-1.43087	50	6.18353	-2.65821	-110.8468	3.48865	7.01696	22.49627	-35.33199	NSH_N	UPP_VAL	FraserField	NECBL	NECL	20250603-FraserField-1	f35be4f0-40cb-11f0-b7bb-43e5970371a5	74.43738			7.40465							15a45e52-862d-4085-a6c4-96174483653f	6/3/2025	41:56.0	2025-06-03T18:41:55.9919616-04:00	2025-06-03T22:41:55.9919616Z		v3				MacDougall, Ryan	1000268563	Right	UPP_VAL	5738b266-4f4d-46ad-9762-96927ac5c373	55.19566	-111.89628	11.24814	5.98233	5.13695	-17.66599	-1.29923	-2.98556	3.50848																																																			High	High	High					
91	6/3/2025	53:02.4	1	3	Howard, Flynn	1000220099	Right	UPP_VAL	Sengenberger, Aidan	10034113	Right	NSH_N	Undefined	3	Bottom	0	0	2	ChangeUp	Changeup	StrikeSwinging	Strikeout	Undefined	Undefined	0	0		83.33232	-1.31357	-4.24473	1801.382174	251.30988	2:30	5.80586	1.29784	5.97322	-31.89348	8.80894	21.74576	1.92677	-0.83228	75.51094	-7.260969	-0.343636	0.459179												-12.46977	5.35855	-0.97342	50	5.6841	8.09501	-120.65266	-3.77155	-18.16509	26.04943	-24.3681	NSH_N	UPP_VAL	FraserField	NECBL	NECL	20250603-FraserField-1	80802340-40cd-11f0-b7bb-43e5970371a5	82.08666			7.82138							15a45e52-862d-4085-a6c4-96174483653f	6/3/2025	53:02.4	2025-06-03T18:53:02.4323072-04:00	2025-06-03T22:53:02.4323072Z		v3				MacDougall, Ryan	1000268563	Right	UPP_VAL	61091626-0d97-4181-82c6-fc3965187467	54.52445	-121.62558	13.02471	5.80797	-2.86142	-12.18405	-1.28843	8.77346	-9.08255																																																			High	High	High					
93	6/3/2025	53:42.2	2	2	Howard, Flynn	1000220099	Right	UPP_VAL	Rickheim, Jack	831897	Right	NSH_N	Undefined	3	Bottom	1	0	0	Fastball	Slider	InPlay	Undefined	Popup	Out	1	0		86.14293	-0.504474	-2.249034	2130.083732	215.193249	1:15	5.918	1.25823	6.15958	-28.07813	9.55142	5.82193	3.11176	-0.33532	78.12564	-5.777205	-1.199368	0.441505	82.03002	71.178768	3.914713						60.35742			-3.70977	5.47492	-1.09047	50	5.86542	4.67942	-125.0051	-1.9671	-5.80713	27.72064	-23.60381	NSH_N	UPP_VAL	FraserField	NECBL	NECL	20250603-FraserField-1	983e04c0-40cd-11f0-b7bb-43e5970371a5	85.37253	71.01159		8.01729				0.94697	3.3997	0.15773	15a45e52-862d-4085-a6c4-96174483653f	6/3/2025	53:42.2	2025-06-03T18:53:42.2153728-04:00	2025-06-03T22:53:42.2153728Z		v3				MacDougall, Ryan	1000268563	Right	UPP_VAL	151134c5-13d2-4e96-b616-edd8a2e55033	54.33687	-125.96316	13.86032	5.91931	-1.15133	-11.8019	-1.25566	4.88012	-2.90356	174.670962	0.94697	38.72359	-19.75313	7.22116	-2.06858	0.55254	-0.14175	0.03182	-0.00448	3.3997	113.87747	-30.55717	3.62915	-0.41356	-0.02668	0.034	-0.01282	0.00241	0.15773	2.6499	-5.42066	2.30377	-0.71768	0.20346	-0.05476	0.01279	-0.00186																							High	High	High	High	Undefined			
97	6/3/2025	54:49.3	3	4	Howard, Flynn	1000220099	Right	UPP_VAL	Parks, Samuel	1000228989	Left	NSH_N	Undefined	3	Bottom	2	3	0	Fastball	Sinker	InPlay	Undefined	GroundBall	Out	1	0		87.99831	-1.811817	-2.074751	2081.776007	226.663234	1:30	5.85531	1.44155	6.01325	-23.67934	12.49898	11.94493	2.20199	0.51418	80.05454	-6.259873	0.074217	0.432908	72.36424	-0.895221	3.351967	1496.778536				30.23226	29.27386	1.947486	0.289897	-6.76933	7.33662	-1.28529	50	5.70024	4.13432	-127.66727	-4.78097	-11.08923	28.10917	-20.15548	NSH_N	UPP_VAL	FraserField	NECBL	NECL	20250603-FraserField-1	c03c8370-40cd-11f0-b7bb-43e5970371a5	87.06801	2.1075		7.94377				0.38512	2.1075	-0.54025	15a45e52-862d-4085-a6c4-96174483653f	6/3/2025	54:49.3	2025-06-03T18:54:49.3381120-04:00	2025-06-03T22:54:49.3381120Z	GroundBall	v3				MacDougall, Ryan	1000268563	Right	UPP_VAL	48efa7a3-f4d9-4fe8-b364-be6387f409a9	54.4837	-128.65068	14.05458	5.85517	-4.07582	-10.07774	-1.43671	4.52228	-5.54461	29.65816	0.38601	105.89865	-10.37375							2.10939	-1.74434	-19.10441							-0.53975	6.18204	-2.6831																													High	High	High	High	High			
115	6/3/2025	06:39.2	1	1	Howard, Flynn	1000220099	Right	UPP_VAL	Wilson, Ethan	1000303711	Right	NSH_N	Undefined	4	Bottom	0	0	0	Fastball	Changeup	InPlay	Undefined	GroundBall	Error	0	0		84.97593	-1.429172	-2.740601	2091.673391	218.589255	1:15	5.9124	1.47797	6.2731	-24.40777	13.97595	10.12461	2.55921	-0.20656	77.38649	-6.041669	-0.911986	0.445908												-6.04646	8.06473	-1.27997	50	5.79478	5.50955	-123.29426	-3.77393	-9.25311	25.84762	-19.83229	NSH_N	UPP_VAL	FraserField	NECBL	NECL	20250603-FraserField-1	6757a350-40cf-11f0-b7bb-43e5970371a5	84.5297			7.58944							15a45e52-862d-4085-a6c4-96174483653f	6/3/2025	06:39.2	2025-06-03T19:06:39.2139264-04:00	2025-06-03T23:06:39.2139264Z		v3				MacDougall, Ryan	1000268563	Right	UPP_VAL	63a93f3c-e4e3-4e7e-8c76-ba0c1b223f3c	54.22301	-124.17642	12.92381	5.91203	-3.09706	-9.91615	-1.4734	5.82535	-4.62656																																																			High	High	High					
119	6/3/2025	08:27.2	2	4	Howard, Flynn	1000220099	Right	UPP_VAL	Gold, Jack	1000108729	Left	NSH_N	Undefined	4	Bottom	0	0	2	Fastball	Changeup	StrikeCalled	Strikeout	Undefined	Undefined	0	0		86.54297	-1.059817	-2.857315	2130.592792	225.938817	1:30	6.03683	1.29757	5.68668	-27.88171	10.23142	9.16784	2.72421	-0.6038	78.27157	-6.255255	-1.219743	0.444333												-5.53756	5.93103	-1.06282	50	5.93039	5.86416	-125.36119	-3.25479	-8.70062	28.3368	-22.85521	NSH_N	UPP_VAL	FraserField	NECBL	NECL	20250603-FraserField-1	a79f7aa0-40cf-11f0-b7bb-43e5970371a5	84.82923			8.2714							15a45e52-862d-4085-a6c4-96174483653f	6/3/2025	08:27.2	2025-06-03T19:08:27.2312320-04:00	2025-06-03T23:08:27.2312320Z		v3				MacDougall, Ryan	1000268563	Right	UPP_VAL	75167eb9-f7df-444d-a9e9-c12152b7028f	54.8084	-126.44342	14.1684	6.03803	-2.38192	-11.42761	-1.29312	6.19645	-4.35031																																																			High	High	High					
125	6/3/2025	10:28.4	3	6	Howard, Flynn	1000220099	Right	UPP_VAL	Jaconski, Jesse	810825	Right	NSH_N	Undefined	4	Bottom	1	3	2	Fastball	Changeup	StrikeSwinging	Strikeout	Undefined	Undefined	0	0		84.21706	-2.081334	-2.545928	2059.66412	217.962895	1:15	5.93635	1.30289	6.04513	-29.45557	10.38646	6.965	1.55209	-0.47524	76.15552	-7.592167	-1.292294	0.454299												-4.40933	6.45583	-1.10822	50	5.75845	5.14849	-122.00234	-5.34211	-6.53647	27.68757	-22.60382	NSH_N	UPP_VAL	FraserField	NECBL	NECL	20250603-FraserField-1	eff40500-40cf-11f0-b7bb-43e5970371a5	82.96828			8.06153							15a45e52-862d-4085-a6c4-96174483653f	6/3/2025	10:28.4	2025-06-03T19:10:28.4155904-04:00	2025-06-03T23:10:28.4155904Z		v3				MacDougall, Ryan	1000268563	Right	UPP_VAL	38e36efc-20ed-4226-8abd-d86fae1c1ccc	54.4499	-123.00806	13.84378	5.93759	-4.52104	-11.30191	-1.29954	5.38592	-3.26824																																																			High	High	High					
127	6/3/2025	11:19.6	4	2	Howard, Flynn	1000220099	Right	UPP_VAL	Dalton, Brody	823913	Left	NSH_N	Undefined	4	Bottom	2	0	1	ChangeUp	Changeup	InPlay	Undefined	GroundBall	Out	1	0		81.75138	-0.227481	-3.20184	1898.981395	260.733338	2:45	5.7857	1.70698	5.97602	-37.54439	4.49591	18.77513	2.4458	0.30039	74.38862	-7.192085	0.171975	0.466664	89.13108	-8.840272	33.996317					18.89552	17.87214	29.536364	0.133968	-10.64953	2.7813	-1.46415	50	5.74688	5.91782	-118.58233	-1.65539	-15.0284	24.5669	-28.24914	NSH_N	UPP_VAL	FraserField	NECBL	NECL	20250603-FraserField-1	0e8ef330-40d0-11f0-b7bb-43e5970371a5	80.76999	2.69692		7.36276				2.06343	2.69692	-0.38068	15a45e52-862d-4085-a6c4-96174483653f	6/3/2025	11:19.6	2025-06-03T19:11:19.6051456-04:00	2025-06-03T23:11:19.6051456Z	GroundBall	v3				MacDougall, Ryan	1000268563	Right	UPP_VAL	7cf936f2-a45d-446a-90b9-1045667ccd9f	54.52275	-119.51564	12.28345	5.78939	-0.58219	-14.12457	-1.69982	6.48876	-7.5142	180	2.0587	107.31297								2.69781	-20.13111								-0.38387	72.37348																														High	High	High	Medium	High			
137	6/3/2025	19:36.3	1	3	Potter, Aaron	1000226268	Right	UPP_VAL	Marot, Alex	823917	Right	NSH_N	Undefined	5	Bottom	0	0	2	Fastball	Four-Seam	StrikeSwinging	Strikeout	Undefined	Undefined	0	0		91.98949	-1.743798	-3.73581	2216.734222	214.596064	1:15	5.66394	2.4848	6.30014	-13.93072	19.29288	12.43603	2.89251	0.0743	82.41707	-4.476942	-1.493299	0.414853												-7.64115	10.92119	-2.21552	50	5.52866	8.15593	-133.14372	-4.38757	-13.45208	33.7242	-12.94759	NSH_N	UPP_VAL	FraserField	NECBL	NECL	20250603-FraserField-1	3663fb70-40d1-11f0-b7bb-43e5970371a5	90.85724			9.57243							15a45e52-862d-4085-a6c4-96174483653f	6/3/2025	19:36.3	2025-06-03T19:19:36.2687488-04:00	2025-06-03T23:19:36.2687488Z		v3				MacDougall, Ryan	1000268563	Right	UPP_VAL	17f61ee3-c4ae-4c35-ae57-18b2ccf1112e	54.19347	-134.20169	16.8621	5.65993	-3.98138	-6.47379	-2.478	8.57794	-6.72604																																																			High	High	High					
144	6/3/2025	22:17.3	2	7	Potter, Aaron	1000226268	Right	UPP_VAL	Wright, Brooks	1000223489	Left	NSH_N	Undefined	5	Bottom	1	2	2	Fastball	Four-Seam	StrikeCalled	Strikeout	Undefined	Undefined	0	0		92.5766	-2.345105	-4.449136	2149.45294	226.666483	1:30	5.67996	2.38866	6.34647	-16.55438	15.99863	15.72284	2.13396	-0.40491	83.65278	-5.529889	-1.613892	0.410645												-9.57071	9.39812	-2.07208	50	5.50124	9.77167	-133.99035	-5.95897	-17.19941	32.05622	-15.28482	NSH_N	UPP_VAL	FraserField	NECBL	NECL	20250603-FraserField-1	966aa780-40d1-11f0-b7bb-43e5970371a5	91.7883			8.92382							15a45e52-862d-4085-a6c4-96174483653f	6/3/2025	22:17.3	2025-06-03T19:22:17.2623360-04:00	2025-06-03T23:22:17.2623360Z		v3				MacDougall, Ryan	1000268563	Right	UPP_VAL	83b70d50-8505-490a-a4f9-9d423b9600ed	54.15062	-134.9797	16.02811	5.67787	-5.48723	-7.64241	-2.38185	10.3025	-8.5997																																																			High	High	High					
147	6/3/2025	23:32.1	3	3	Potter, Aaron	1000226268	Right	UPP_VAL	Sengenberger, Aidan	10034113	Right	NSH_N	Undefined	5	Bottom	2	0	2	Fastball	Four-Seam	InPlay	Undefined	LineDrive	Out	1	0		93.35576	-1.961437	-3.733034	2160.059211	212.059757	1:00	6.01131	2.20931	6.09741	-12.86367	19.77237	11.5828	3.12068	-0.28295	83.33423	-4.495258	-1.652523	0.411169	97.04016	27.417469	-5.365786	1518.596062	109.08881	50.16784	-14.12596	347.23771	341.45318	-9.835728	4.199996	-7.24008	11.2132	-1.92758	50	5.85329	8.29615	-135.02382	-4.94253	-13.05527	35.77153	-11.95444	NSH_N	UPP_VAL	FraserField	NECBL	NECL	20250603-FraserField-1	c304f570-40d1-11f0-b7bb-43e5970371a5	91.67143	63.37893		10.02153				0.39306	3.05033	0.2903	15a45e52-862d-4085-a6c4-96174483653f	6/3/2025	23:32.1	2025-06-03T19:23:32.0619008-04:00	2025-06-03T23:23:32.0619008Z	FlyBall	v3				MacDougall, Ryan	1000268563	Right	UPP_VAL	e21c8f98-3a82-41ae-9da8-59eeeabc7348	54.39678	-136.18367	17.88576	6.00726	-4.55492	-5.97722	-2.20343	8.71945	-6.52764	141.782115	0.39299	125.79281	-22.78068	6.03778	-1.6005	0.45792	-0.11932	0.0195	-0.00131	3.05174	65.49721	-19.58932	0.66203	0.5162	-0.33526	0.10239	-0.01514	0.00086	0.28968	-11.79918	-4.33363	2.60505	-0.97315	0.28635	-0.06129	0.00768	-0.0004																							High	High	High	High	High			
